"Name","Author","User Rating","Reviews","Price","Year","Genre"
"10-Day Green Smoothie Cleanse","JJ Smith","4.7","17350","6.4","2016","Non Fiction"
"11/22/63: A Novel","Stephen King","4.6","2052","17.6","2011","Fiction"
"12 Rules for Life: An Antidote to Chaos","Jordan B. Peterson","4.7","18979","12.0","2018","Non Fiction"
"1984 (Signet Classics)","George Orwell","4.7","21424","4.800000000000001","2017","Fiction"
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)","National Geographic Kids","4.8","7665","9.600000000000001","2019","Non Fiction"
"A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin","4.4","12643","8.8","2011","Fiction"
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons","George R. R. Martin","4.7","19735","24.0","2014","Fiction"
"A Gentleman in Moscow: A Novel","Amor Towles","4.7","19699","12.0","2017","Fiction"
"A Higher Loyalty: Truth, Lies, and Leadership","James Comey","4.7","5983","2.4000000000000004","2018","Non Fiction"
"A Man Called Ove: A Novel","Fredrik Backman","4.6","23848","6.4","2016","Fiction"
"A Man Called Ove: A Novel","Fredrik Backman","4.6","23848","6.4","2017","Fiction"
"A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror","Larry Schweikart","4.6","460","1.6","2010","Non Fiction"
"A Stolen Life: A Memoir","Jaycee Dugard","4.6","4149","25.6","2011","Non Fiction"
"A Wrinkle in Time (Time Quintet)","Madeleine L'Engle","4.5","5153","4.0","2018","Fiction"
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment","Steve Harvey","4.6","5013","13.600000000000001","2009","Non Fiction"
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns","Adult Coloring Book Designs","4.5","2313","3.2","2016","Non Fiction"
"Adult Coloring Book: Stress Relieving Animal Designs","Blue Star Coloring","4.6","2925","4.800000000000001","2015","Non Fiction"
"Adult Coloring Book: Stress Relieving Patterns","Blue Star Coloring","4.4","2951","4.800000000000001","2015","Non Fiction"
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisleyâ€¦","Coloring Books for Adults","4.5","2426","6.4","2015","Non Fiction"
"Alexander Hamilton","Ron Chernow","4.8","9198","10.4","2016","Non Fiction"
"All the Light We Cannot See","Anthony Doerr","4.6","36348","11.200000000000001","2014","Fiction"
"All the Light We Cannot See","Anthony Doerr","4.6","36348","11.200000000000001","2015","Fiction"
"Allegiant","Veronica Roth","3.9","6310","10.4","2013","Fiction"
"American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History","Chris Kyle","4.6","15921","7.2","2015","Non Fiction"
"And the Mountains Echoed","Khaled Hosseini","4.3","12159","10.4","2013","Fiction"
"Arguing with Idiots: How to Stop Small Minds and Big Government","Glenn Beck","4.6","798","4.0","2009","Non Fiction"
"Astrophysics for People in a Hurry","Neil deGrasse Tyson","4.7","9374","7.2","2017","Non Fiction"
"Autobiography of Mark Twain, Vol. 1","Mark Twain","4.2","491","11.200000000000001","2010","Non Fiction"
"Baby Touch and Feel: Animals","DK","4.6","5360","4.0","2015","Non Fiction"
"Balance (Angie's Extreme Stress Menders)","Angie Grace","4.6","1909","8.8","2015","Non Fiction"
"Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook","Ina Garten","4.8","1296","19.200000000000003","2012","Non Fiction"
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips","Ina Garten","4.7","615","16.8","2010","Non Fiction"
"Becoming","Michelle Obama","4.8","61133","8.8","2018","Non Fiction"
"Becoming","Michelle Obama","4.8","61133","8.8","2019","Non Fiction"
"Being Mortal: Medicine and What Matters in the End","Atul Gawande","4.8","11113","12.0","2015","Non Fiction"
"Between the World and Me","Ta-Nehisi Coates","4.7","10070","10.4","2015","Non Fiction"
"Between the World and Me","Ta-Nehisi Coates","4.7","10070","10.4","2016","Non Fiction"
"Born to Run","Bruce Springsteen","4.7","3729","14.4","2016","Non Fiction"
"Breaking Dawn (The Twilight Saga, Book 4)","Stephenie Meyer","4.6","9769","10.4","2009","Fiction"
"Broke: The Plan to Restore Our Trust, Truth and Treasure","Glenn Beck","4.5","471","6.4","2010","Non Fiction"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","4.9","14344","4.0","2017","Fiction"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","4.9","14344","4.0","2019","Fiction"
"Cabin Fever (Diary of a Wimpy Kid, Book 6)","Jeff Kinney","4.8","4505","0.0","2011","Fiction"
"Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series)","Sasha O'Hara","4.6","10369","3.2","2016","Non Fiction"
"Can't Hurt Me: Master Your Mind and Defy the Odds","David Goggins","4.8","16244","14.4","2019","Non Fiction"
"Capital in the Twenty First Century","Thomas Piketty","4.5","2884","22.400000000000002","2014","Non Fiction"
"Catching Fire (The Hunger Games)","Suzanne Collins","4.7","22614","8.8","2010","Fiction"
"Catching Fire (The Hunger Games)","Suzanne Collins","4.7","22614","8.8","2011","Fiction"
"Catching Fire (The Hunger Games)","Suzanne Collins","4.7","22614","8.8","2012","Fiction"
"Cravings: Recipes for All the Food You Want to Eat: A Cookbook","Chrissy Teigen","4.7","4761","12.8","2016","Non Fiction"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","4.7","1542","11.200000000000001","2009","Non Fiction"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","4.7","1542","11.200000000000001","2010","Non Fiction"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","4.7","1542","11.200000000000001","2011","Non Fiction"
"Crazy Rich Asians (Crazy Rich Asians Trilogy)","Kevin Kwan","4.3","6143","6.4","2018","Fiction"
"Creative Haven Creative Cats Coloring Book (Adult Coloring)","Marjorie Sarnat","4.8","4022","3.2","2015","Non Fiction"
"Creative Haven Owls Coloring Book (Adult Coloring)","Marjorie Sarnat","4.8","3871","4.0","2015","Non Fiction"
"Cutting for Stone","Abraham Verghese","4.6","4866","8.8","2010","Fiction"
"Cutting for Stone","Abraham Verghese","4.6","4866","8.8","2011","Fiction"
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","BreneÌ Brown","4.8","1329","8.0","2013","Non Fiction"
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants","Malcolm Gladwell","4.4","4642","10.4","2013","Non Fiction"
"Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood)","Charlaine Harris","4.6","1541","3.2","2009","Fiction"
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","Charlaine Harris","4.3","1924","6.4","2010","Fiction"
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)","Charlaine Harris","4.2","2094","3.2","2011","Fiction"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","4.8","10922","4.0","2015","Fiction"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","4.8","10922","4.0","2016","Fiction"
